20170408,41800,450000,45,326,197,0,27,7,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170409,2514,530000,53,5,4,0,32,5,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170410,29711,580000,58,240,237,0,34,8,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170411,70611,640000,64,68,37,0,37,8,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170412,28639,730000,73,66,1,0,43,8,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170413,15501,800000,80,32,16,0,46,7,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170414,30010,880000,88,214,192,16100000,51,11,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170415,23727,920000,92,201,61,16100000,53,11,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170416,6087,1010000,101,62,15,16100000,57,11,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170417,27339,1090000,109,135,93,16100000,63,11,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170418,43944,1140000,114,116,62,16100000,65,13,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170419,34121,1230000,123,49,25,16100000,70,13,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170420,17856,1290000,129,178,67,16100000,73,13,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170421,33980,1340000,134,185,104,16100000,77,12,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170422,25627,1410000,141,167,85,16100000,81,13,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170423,3920,1480000,148,1,0,16100000,85,14,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170424,29941,1580000,158,186,59,0,92,14,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170425,28925,1650000,165,234,203,0,95,18,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170426,36558,1690000,169,112,96,0,98,16,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170427,28208,1780000,178,220,88,0,102,15,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170428,47425,1830000,183,454,174,0,105,17,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170429,52707,1910000,191,591,546,0,109,20,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170430,10031,1990000,199,71,23,0,115,19,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170501,24110,2050000,205,31,19,0,118,19,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170502,29429,2120000,212,34,25,0,122,19,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170503,23828,2190000,219,15,2,0,127,22,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170504,30074,2270000,227,279,272,0,131,23,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170505,15826,2350000,235,85,0,0,136,21,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170506,27694,2390000,239,153,8,0,137,22,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170507,4746,2480000,248,23,16,0,144,23,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170508,20001,2540000,254,176,23,0,144,22,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170509,24218,2610000,261,118,38,0,149,25,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170510,18632,2670000,267,135,98,0,153,25,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170511,14974,2760000,276,40,17,0,159,24,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170512,19922,2830000,283,91,24,0,162,24,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170513,20980,2910000,291,56,41,0,167,25,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170514,3290,2980000,298,39,34,0,171,26,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170515,20689,3020000,302,87,31,0,173,28,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170516,16396,3090000,309,196,170,0,177,28,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170517,22438,3170000,317,148,8,0,182,29,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170518,22804,3230000,323,219,175,0,185,29,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170519,26832,3310000,331,214,30,0,190,28,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170520,26278,3380000,338,95,30,0,193,30,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170521,5001,3460000,346,40,33,0,199,32,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170522,26250,3520000,352,49,38,0,202,32,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170523,38391,3600000,360,167,68,0,206,31,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170524,39285,3670000,367,320,189,0,211,35,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170525,24836,3730000,373,253,108,0,214,33,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170526,29375,3790000,379,244,108,0,218,34,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170527,29789,3890000,389,354,280,0,224,36,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170528,4230,3940000,394,35,1,0,226,35,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170529,29127,4010000,401,181,157,0,229,38,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170530,20797,4080000,408,53,48,0,235,37,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170531,30764,4170000,417,211,199,0,239,39,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170601,20976,4220000,422,97,90,0,242,39,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170602,30876,4300000,430,85,80,0,247,39,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170603,28259,4370000,437,299,37,0,252,38,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170604,3093,4430000,443,12,0,0,255,41,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170605,26334,4510000,451,240,86,0,258,42,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170606,25190,4570000,457,153,116,0,261,42,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170607,37038,4640000,464,344,92,0,265,44,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170608,42122,4720000,472,148,121,0,270,44,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170609,62998,4780000,478,169,52,0,274,43,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170610,46553,4850000,485,92,34,0,277,44,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170611,6319,4920000,492,64,47,0,283,42,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170612,36069,4970000,497,117,17,0,285,45,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170613,76449,5060000,506,561,421,0,288,47,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170614,38272,5130000,513,91,29,0,294,46,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170615,32270,5210000,521,6,2,0,299,45,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170616,56811,5280000,528,263,152,20000000,303,48,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170617,51978,5350000,535,575,59,20000000,306,47,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170618,14211,5410000,541,27,5,20000000,311,50,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170619,38657,5480000,548,331,243,20000000,313,49,417.2857143,184694.7143,571428.5714,209262.5714,113.8571429,192020.1584,142371.0252,88,689,234,6.081542661,210056.4835,393707.4286,760.8571429,71375.15099,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170620,38890,5560000,556,454,81,20000000,319,50,417.2857143,184694.7143,571428.5714,209262.5714,113.8571429,192020.1584,142371.0252,88,689,237,6.081542661,210056.4835,393707.4286,760.8571429,71375.15099,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170621,48876,5620000,562,281,269,20000000,321,49,417.2857143,184694.7143,571428.5714,209262.5714,113.8571429,192020.1584,142371.0252,88,689,241,6.081542661,210056.4835,393707.4286,760.8571429,71375.15099,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170622,37718,5700000,570,295,170,20000000,327,51,417.2857143,184694.7143,571428.5714,209262.5714,113.8571429,192020.1584,142371.0252,88,689,244,6.081542661,210056.4835,393707.4286,760.8571429,71375.15099,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170623,50156,5760000,576,162,66,20000000,329,53,417.2857143,184694.7143,571428.5714,209262.5714,113.8571429,192020.1584,142371.0252,88,689,247,6.081542661,210056.4835,393707.4286,760.8571429,71375.15099,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170624,48709,5840000,584,454,98,0,335,51,417.2857143,184694.7143,571428.5714,209262.5714,113.8571429,192020.1584,142371.0252,88,689,249,6.081542661,210056.4835,393707.4286,760.8571429,71375.15099,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170625,12067,5910000,591,35,18,0,339,51,417.2857143,184694.7143,571428.5714,209262.5714,113.8571429,192020.1584,142371.0252,88,689,252,6.081542661,210056.4835,393707.4286,760.8571429,71375.15099,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170626,45536,5970000,597,22,21,0,341,52,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170627,45611,6050000,605,135,102,0,346,55,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170628,45893,6120000,612,85,70,0,350,56,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170629,58222,6200000,620,138,48,0,355,55,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170630,60793,6270000,627,39,32,0,359,56,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170701,38225,6330000,633,202,32,0,363,57,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170702,9353,6390000,639,86,19,0,366,58,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170703,36069,6470000,647,344,139,0,371,56,384.7142857,183270.4016,571428.5714,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170704,39805,6520000,652,80,22,0,373,57,384.7142857,183270.4016,571428.5714,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170705,36620,6610000,661,77,1,0,378,60,384.7142857,183270.4016,571428.5714,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170706,32713,6660000,666,290,55,0,381,58,384.7142857,183270.4016,571428.5714,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170707,36587,6750000,675,307,66,0,386,58,384.7142857,183270.4016,571428.5714,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170708,43080,6800000,680,291,226,0,389,61,384.7142857,183270.4016,571428.5714,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170709,6821,6880000,688,57,38,0,394,59,384.7142857,183270.4016,571428.5714,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170710,49296,6950000,695,215,104,0,398,63,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170711,80372,7020000,702,831,143,0,402,62,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170712,50496,7090000,709,245,50,0,406,64,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170713,58092,7150000,715,4,2,0,409,62,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170714,65671,7250000,725,784,383,0,416,63,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170715,72844,7280000,728,720,524,0,416,63,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170716,18886,7380000,738,60,15,0,423,65,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170717,60940,7450000,745,440,75,0,427,67,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170718,53902,7510000,751,282,11,0,429,68,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170719,60941,7590000,759,492,232,0,435,67,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170720,51901,7640000,764,28,20,0,437,68,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170721,48740,7730000,773,198,135,0,443,69,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170722,65641,7800000,780,318,301,0,447,68,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170723,15402,7850000,785,23,4,0,449,71,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20170724,57302,7940000,794,612,57,0,454,71,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
